aqsid,param,dur,year,rows,source_file
480291610,44201,1,2022,5894,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480291610,44201,1,2023,6103,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480291610,44201,1,2024,6500,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480291610,44201,1,2025,5980,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290059,42401,1,2016,8513,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42401,1,2017,8368,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42401,1,2018,7987,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42401,1,2019,7513,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42401,1,2020,8245,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42401,1,2021,8391,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42401,1,2022,8397,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42401,1,2023,7982,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42401,1,2024,8342,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42401,1,2025,8378,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2016,8397,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2017,8256,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2018,8311,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2019,8527,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2020,8409,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2021,8475,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2022,8354,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2023,8314,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2024,8266,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42601,1,2025,8500,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2016,8214,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2017,8253,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2018,8311,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2019,8527,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2020,8409,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2021,8475,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2022,8354,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2023,8314,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2024,8266,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42602,1,2025,8500,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2016,8453,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2017,8256,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2018,8342,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2019,8527,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2020,8409,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2021,8475,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2022,8354,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2023,8314,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2024,8266,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,42603,1,2025,8500,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2016,8681,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2017,8414,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2018,8573,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2019,8628,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2020,8446,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2021,8359,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2022,8497,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2023,8522,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2024,8430,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,44201,1,2025,8475,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,88101,1,2018,1181,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,88101,1,2019,8272,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,88101,1,2020,8191,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,88101,1,2021,8606,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,88101,1,2022,8599,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,88101,1,2023,8579,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,88101,1,2024,8397,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480290059,88101,1,2025,8552,"TCEQ_CalaveresLake_PM2.5,SO2,NOx,O3_2016-2025.txt"
480910503,42601,1,2025,215,TCEQ_NOx_112225-010126_4sites.txt
480910503,42602,1,2025,215,TCEQ_NOx_112225-010126_4sites.txt
480910503,42603,1,2025,215,TCEQ_NOx_112225-010126_4sites.txt
481870504,42601,1,2025,215,TCEQ_NOx_112225-010126_4sites.txt
481870504,42602,1,2025,215,TCEQ_NOx_112225-010126_4sites.txt
481870504,42603,1,2025,215,TCEQ_NOx_112225-010126_4sites.txt
481870506,42601,1,2025,214,TCEQ_NOx_112225-010126_4sites.txt
481870506,42602,1,2025,215,TCEQ_NOx_112225-010126_4sites.txt
481870506,42603,1,2025,212,TCEQ_NOx_112225-010126_4sites.txt
480910503,42601,1,2021,4584,TCEQ_NOX_2016-2025.txt
480910503,42601,1,2022,5391,TCEQ_NOX_2016-2025.txt
480910503,42601,1,2023,5186,TCEQ_NOX_2016-2025.txt
480910503,42601,1,2024,4533,TCEQ_NOX_2016-2025.txt
480910503,42601,1,2025,5718,TCEQ_NOX_2016-2025.txt
480910503,42602,1,2021,4584,TCEQ_NOX_2016-2025.txt
480910503,42602,1,2022,5392,TCEQ_NOX_2016-2025.txt
480910503,42602,1,2023,5186,TCEQ_NOX_2016-2025.txt
480910503,42602,1,2024,4546,TCEQ_NOX_2016-2025.txt
480910503,42602,1,2025,6036,TCEQ_NOX_2016-2025.txt
480910503,42603,1,2021,4584,TCEQ_NOX_2016-2025.txt
480910503,42603,1,2022,5391,TCEQ_NOX_2016-2025.txt
480910503,42603,1,2023,5186,TCEQ_NOX_2016-2025.txt
480910503,42603,1,2024,4547,TCEQ_NOX_2016-2025.txt
480910503,42603,1,2025,6035,TCEQ_NOX_2016-2025.txt
480910505,42601,1,2021,4061,TCEQ_NOX_2016-2025.txt
480910505,42601,1,2022,5301,TCEQ_NOX_2016-2025.txt
480910505,42601,1,2023,5968,TCEQ_NOX_2016-2025.txt
480910505,42601,1,2024,4760,TCEQ_NOX_2016-2025.txt
480910505,42601,1,2025,5460,TCEQ_NOX_2016-2025.txt
480910505,42602,1,2021,4061,TCEQ_NOX_2016-2025.txt
480910505,42602,1,2022,5298,TCEQ_NOX_2016-2025.txt
480910505,42602,1,2023,5970,TCEQ_NOX_2016-2025.txt
480910505,42602,1,2024,4760,TCEQ_NOX_2016-2025.txt
480910505,42602,1,2025,5461,TCEQ_NOX_2016-2025.txt
480910505,42603,1,2021,4061,TCEQ_NOX_2016-2025.txt
480910505,42603,1,2022,5298,TCEQ_NOX_2016-2025.txt
480910505,42603,1,2023,5965,TCEQ_NOX_2016-2025.txt
480910505,42603,1,2024,4760,TCEQ_NOX_2016-2025.txt
480910505,42603,1,2025,5460,TCEQ_NOX_2016-2025.txt
481870504,42601,1,2021,4523,TCEQ_NOX_2016-2025.txt
481870504,42601,1,2022,4952,TCEQ_NOX_2016-2025.txt
481870504,42601,1,2023,6082,TCEQ_NOX_2016-2025.txt
481870504,42601,1,2024,4712,TCEQ_NOX_2016-2025.txt
481870504,42601,1,2025,6139,TCEQ_NOX_2016-2025.txt
481870504,42602,1,2021,4523,TCEQ_NOX_2016-2025.txt
481870504,42602,1,2022,4909,TCEQ_NOX_2016-2025.txt
481870504,42602,1,2023,6081,TCEQ_NOX_2016-2025.txt
481870504,42602,1,2024,4712,TCEQ_NOX_2016-2025.txt
481870504,42602,1,2025,6140,TCEQ_NOX_2016-2025.txt
